74	736
93	1184
276	532
739	403
493	95
567	990
733	879
523	197
249	501
832	718
110	1569
487	1470
320	221
76	487
641	1242
784	746
684	1481
413	288
527	212
145	761
292	1522
527	213
405	49
21	1087
795	334
355	1290
319	1454
609	308
449	710
417	383
468	1729
529	112
616	460
153	641
203	754
430	436
850	494
544	1305
105	425
526	165
803	1179
41	546
645	1549
383	876
296	904
392	954
257	1064
492	773
107	1560
723	338
181	868
335	1255
224	172
574	482
44	301
545	413
557	1326
814	1713
647	1265
490	944
325	540
189	1159
84	1056
216	918
37	64
634	1608
617	793
410	491
739	400
797	1565
754	781
378	1744
545	412
624	942
343	319
121	1748
702	927
526	1756
408	970
253	1387
870	1121
777	33
483	1331
753	747
776	1062
379	1249
64	527
785	787
368	1155
651	1687
738	1176
485	1699
862	108
549	39
871	1410
709	1426
349	585
173	1313
684	1480
469	379
262	176
437	1684
166	8
565	391
788	537
836	119
268	315
354	584
139	679
42	1306
168	1436
204	1593
156	680
189	1158
595	615
622	247
386	858
759	815
677	216
357	92
689	48
328	871
104	1088
375	1149
574	1605
747	725
618	1131
655	1369
600	803
632	810
639	1025
756	76
474	1583
330	1533
541	1225
836	1677
98	1206
849	1039
387	1359
600	804
707	963
658	880
117	444
582	1703
829	1760
676	890
862	107
501	1058
26	1558
703	541
376	929
138	1032
578	279
225	443
477	1248
242	362
454	1751
287	1043
451	363
491	446
708	1701
550	1220
447	154
168	1435
821	1460
772	233
235	1487
441	909
347	1288
136	132
548	71
389	25
685	955
91	1216
869	619
488	1259
118	217
556	795
795	333
