user ID,item ID,timestamp
0,2601,1404864000
0,2415,1404864000
1,2774,1404864000
1,56,1404864000
2,167,1404000000
2,143,1404000000
3,3692,1403654400
3,1471,1403654400
4,2010,1403395200
4,3047,1403395200
5,2296,1403049600
5,4035,1403049600
6,1401,1402099200
6,1073,1402099200
7,1035,1402012800
7,3233,1402012800
8,530,1401408000
8,1805,1401408000
9,3693,1401235200
9,3694,1401235200
10,3695,1400889600
10,3696,1400889600
11,3149,1400803200
11,3498,1400803200
12,846,1400716800
12,3546,1400716800
13,2599,1400716800
13,258,1400716800
14,2052,1398902400
14,3003,1398902400
15,3160,1398643200
15,2041,1398643200
16,3427,1398211200
16,298,1398211200
17,2877,1397865600
17,2140,1397865600
18,2452,1397433600
18,2377,1397433600
19,2288,1396569600
19,494,1396569600
20,547,1396569600
20,2600,1396569600
21,586,1395705600
21,1103,1395705600
22,3313,1395705600
22,3537,1395705600
23,678,1395100800
23,1415,1395100800
24,2561,1395014400
24,609,1395014400
25,2727,1394928000
25,1886,1394928000
26,122,1394409600
26,3697,1394409600
27,4036,1394409600
27,2401,1394409600
28,1462,1392768000
28,2567,1392768000
29,2474,1392681600
29,1348,1392681600
30,3027,1391558400
30,3369,1391558400
31,3698,1389312000
31,1486,1389312000
32,2991,1389052800
32,3699,1389052800
33,1105,1388188800
33,3109,1388188800
34,1550,1387497600
34,626,1387497600
35,1535,1386892800
35,603,1386892800
36,2813,1386720000
36,1188,1386720000
37,954,1386547200
37,2388,1386547200
38,2731,1386460800
38,836,1386460800
39,74,1384992000
39,3076,1384992000
40,1013,1384300800
40,1657,1384300800
41,1878,1383091200
41,2863,1383091200
42,3149,1382832000
42,385,1382832000
43,518,1379462400
43,1169,1379462400
44,79,1379030400
44,1646,1379030400
45,1025,1378080000
45,3290,1378080000
46,3609,1377907200
46,3004,1377907200
47,1505,1377561600
47,2446,1377561600
48,211,1375488000
48,1350,1375488000
49,2589,1374451200
49,3700,1374451200
50,2414,1405814400
50,2233,1405814400
51,3701,1405296000
51,1833,1405296000
51,2835,1405296000
52,1310,1405296000
52,268,1405296000
52,268,1405296000
52,1310,1405296000
52,766,1405296000
53,2199,1405209600
53,4387,1405209600
54,2889,1405036800
54,1206,1405036800
54,3270,1405036800
54,3270,1405036800
54,1206,1405036800
54,2889,1405036800
55,2744,1405036800
55,3478,1405036800
55,3116,1405036800
56,1496,1404950400
56,1111,1404950400
56,3025,1404950400
56,1496,1404950400
56,3025,1404950400
57,509,1404864000
57,2095,1404864000
58,1973,1404864000
58,3702,1404864000
58,3069,1404864000
59,1357,1404864000
59,2959,1404864000
59,3409,1404864000
60,4037,1404864000
60,160,1404864000
61,4038,1404691200
61,4039,1404691200
61,4040,1404691200
62,4041,1404691200
62,4042,1404691200
62,523,1404691200
63,2796,1404518400
63,768,1404518400
63,768,1404518400
63,2796,1404518400
63,3626,1404518400
64,3306,1404432000
64,1570,1404432000
65,91,1404259200
65,1952,1404259200
66,2217,1403568000
66,3565,1403568000
67,2208,1402444800
67,539,1402444800
67,1715,1388275200
67,3231,1388275200
67,2139,1388275200
67,1545,1388275200
67,159,1388275200
67,1228,1388275200
67,3433,1388275200
67,2374,1388275200
67,1192,1388275200
67,2374,1388275200
